Song-Name,Artists,Genre,Album,Language,Mood,tags
Teri Khair Mangdi,BilalSaeed,BollywoodSad,BaarBaarDekho,Hindi,sad,BilalSaeed BollywoodSad BaarBaarDekho sadHindi
Pinga,ShreyaGhoshal VasihaliMade,BollywoodDance,BajiraoMastani,Hindi,Energetic,ShreyaGhoshal VasihaliMade BollywoodDance BajiraoMastani EnergeticHindi
Haanikaarak,SarwarKhan,Bollywood,Dangal,Hindi,Energetic,SarwarKhan Bollywood Dangal EnergeticHindi
Tere Thumke Sapna Chaudhary,GunwantSen KhushbooJain SaumyaUpadhyay,BollywoodDance,NanuKiJaanu,Hindi,Energetic,GunwantSen KhushbooJain SaumyaUpadhyay BollywoodDance NanuKiJaanu EnergeticHindi
Badnaamiyan,ArmaanMalik,BollywoodRomantic,HateStory4,Hindi,romantic,ArmaanMalik BollywoodRomantic HateStory4 romanticHindi
Malhari,VishalDadlani,BollywoodDance,BajiraoMastani,Hindi,Energetic,VishalDadlani BollywoodDance BajiraoMastani EnergeticHindi
Piya More,MikaSingh NeetiMohan,Bollywood,Baadshaho,Hindi,Energetic,MikaSingh NeetiMohan Bollywood Baadshaho EnergeticHindi
High Heels Te Nachche,AditiSinghSharma JazDhami MeetBros,BollywoodDance,Ki&Ka,Hindi,Energetic,AditiSinghSharma JazDhami MeetBros BollywoodDance Ki&Ka EnergeticHindi
Shake Karaan,KanikaKapoor MeetBros,BollywoodDance,MunnaMichael,Hindi,Energetic,KanikaKapoor MeetBros BollywoodDance MunnaMichael EnergeticHindi
Thodi Der,FarhanSaeed ShreyaGhoshal,BollywoodSad,HalfGirlfriend,Hindi,sad,FarhanSaeed ShreyaGhoshal BollywoodSad HalfGirlfriend sadHindi
Har Dil Jo Pyar Karega,AlkaYagnik UditNarayan,BollywoodDance,HarDilJoPyarKarega,Hindi,Energetic,AlkaYagnik UditNarayan BollywoodDance HarDilJoPyarKarega EnergeticHindi
Raabta,NikhitaGandhi,BollywoodRomantic,Raabta,Hindi,romantic,NikhitaGandhi BollywoodRomantic Raabta romanticHindi
Nach Meri Jaan,DevNegi Kamaalkhan NakashAziz TusharJoshi,BollywoodDance,Tubelight,Hindi,Energetic,DevNegi Kamaalkhan NakashAziz TusharJoshi BollywoodDance Tubelight EnergeticHindi
Janam Janam,AntaraMitra ArijitSingh,BollywoodRomantic,Dilwale,Hindi,romantic,AntaraMitra ArijitSingh BollywoodRomantic Dilwale romanticHindi
Andha Dhun,Raftaar,BollywoodDance,AndhaDhun,Hindi,Energetic,Raftaar BollywoodDance AndhaDhun EnergeticHindi
Holi Biraj Ma,JubinNautiyal,BollywoodDance,Genius,Hindi,Energetic,JubinNautiyal BollywoodDance Genius EnergeticHindi
Kal Ho Naa Ho Title Track,SonuNigam,BollywoodSad,KalHoNaaHo,Hindi,sad,SonuNigam BollywoodSad KalHoNaaHo sadHindi
Enna Sona,A.R.Rahman ArijitSingh,BollywoodRomantic,OkJaanu,Hindi,romantic,A.R.Rahman ArijitSingh BollywoodRomantic OkJaanu romanticHindi
Little Little,HarrdySandhu,BollywoodDance,YamlaPaglaDeewanaPhirSe,Hindi,Energetic,HarrdySandhu BollywoodDance YamlaPaglaDeewanaPhirSe EnergeticHindi
Maa Sherawaliye,SonuNigam,Bollywood,KhiladiyonKaKhiladi,Hindi,Energetic,SonuNigam Bollywood KhiladiyonKaKhiladi EnergeticHindi
Disco Disco,BennyDayal ShirleySetia,BollywoodDance,AGentleman,Hindi,Energetic,BennyDayal ShirleySetia BollywoodDance AGentleman EnergeticHindi
Lambiyaan Si Judaiyaan,AltamashFaridi ArijitSingh ShadaabFaridi,BollywoodSad,Raabta,Hindi,sad,AltamashFaridi ArijitSingh ShadaabFaridi BollywoodSad Raabta sadHindi
Aahista,ArijitSingh JonitaGandhi,BollywoodRomantic,LailaMajnu,Hindi,romantic,ArijitSingh JonitaGandhi BollywoodRomantic LailaMajnu romanticHindi
Naam Hai Bhaiaji,AmitMishra Raftaar,Bollywood,BhaiajiSuperhit,Hindi,Energetic,AmitMishra Raftaar Bollywood BhaiajiSuperhit EnergeticHindi
Kisi Se Tum Pyaar Karo,AlkaYagnik KumarSanu,BollywoodRomantic,Andaaz,Hindi,romantic,AlkaYagnik KumarSanu BollywoodRomantic Andaaz romanticHindi
Baba Bolta Hain Bas Ho Gaya,Papon RanbirKapoor SupriyaPathak,Bollywood,Sanju,Hindi,Energetic,Papon RanbirKapoor SupriyaPathak Bollywood Sanju EnergeticHindi
Sultan Title Song,ShadaabFaridi SukhwinderSingh,BollywoodMotivational,Sultan,Hindi,sad,ShadaabFaridi SukhwinderSingh BollywoodMotivational Sultan sadHindi
Radio,AmitMishra Kamaalkhan,BollywoodDance,Tubelight,Hindi,Energetic,AmitMishra Kamaalkhan BollywoodDance Tubelight EnergeticHindi
Sab Badhiya Hai,SukhwinderSingh,BollywoodDance,SuiDhaaga,Hindi,Energetic,SukhwinderSingh BollywoodDance SuiDhaaga EnergeticHindi
Chin Chin Chu,JassiGill SonakshiSinha,BollywoodDance,HappyPhirrBhaagJayegi,Hindi,Energetic,JassiGill SonakshiSinha BollywoodDance HappyPhirrBhaagJayegi EnergeticHindi
Beat Pe Booty,JigarSaraiya KanikaKapoor SachinSanghvi Vayu,BollywoodDance,AFlyingJatt,Hindi,Energetic,JigarSaraiya KanikaKapoor SachinSanghvi Vayu BollywoodDance AFlyingJatt EnergeticHindi
Jag Ghoomeya,RahatFatehAliKhan,BollywoodRomantic,Sultan,Hindi,romantic,RahatFatehAliKhan BollywoodRomantic Sultan romanticHindi
Jogi,AakankshaSharma YasserDesai,BollywoodRomantic,ShaadiMeinZaroorAana,Hindi,romantic,AakankshaSharma YasserDesai BollywoodRomantic ShaadiMeinZaroorAana romanticHindi
Lets Nacho,Badshah BennyDayal,BollywoodDance,Kapoor&Sons,Hindi,Energetic,Badshah BennyDayal BollywoodDance Kapoor&Sons EnergeticHindi
Tu Tu Hai Wahi,AshaBhosle KishoreKumar,BollywoodRomantic,YehVaadaRaha,Hindi,romantic,AshaBhosle KishoreKumar BollywoodRomantic YehVaadaRaha romanticHindi
Yeh Vaada Raha,AshaBhosle KishoreKumar,BollywoodDance,YehVaadaRaha,Hindi,Energetic,AshaBhosle KishoreKumar BollywoodDance YehVaadaRaha EnergeticHindi
Vande Mataram,Badshah DalerMehndi DivyaKumar TanishkaSanghvi,BollywoodDance,ABCD2,Hindi,Energetic,Badshah DalerMehndi DivyaKumar TanishkaSanghvi BollywoodDance ABCD2 EnergeticHindi
Jeene Laga Hoon,AtifAslam,BollywoodRomantic,RamaiyaVastavaiya,Hindi,romantic,AtifAslam BollywoodRomantic RamaiyaVastavaiya romanticHindi
Nit Khair Manga,RahatFatehAliKhan,BollywoodRomantic,Raid,Hindi,romantic,RahatFatehAliKhan BollywoodRomantic Raid romanticHindi
Jitni Dafa,JeetGannguli YasserDesai,BollywoodRomantic,ParmanuTheStoryofPokhran,Hindi,romantic,JeetGannguli YasserDesai BollywoodRomantic ParmanuTheStoryofPokhran romanticHindi
Wajah Tum Ho,ArmaanMalik,BollywoodRomanticSensual,HateStory3,Hindi,sad,ArmaanMalik BollywoodRomanticSensual HateStory3 sadHindi
Rozana,ShreyaGhoshal,BollywoodRomantic,NaamShabana,Hindi,romantic,ShreyaGhoshal BollywoodRomantic NaamShabana romanticHindi
Tu Meri Main Tera,AltamashFaridi RahatFatehAliKhan ShadabFaridi,BollywoodRomanticSad,NamasteEngland,Hindi,RomanticSad,AltamashFaridi RahatFatehAliKhan ShadabFaridi BollywoodRomanticSad NamasteEngland RomanticSadHindi
Gallan Goodiyaan,FarhanAkhtar ManishKumarTipu ShankarMahadevan SukhwinderSingh YashitaSharma,BollywoodDance,DilDhadakneDo,Hindi,Energetic,FarhanAkhtar ManishKumarTipu ShankarMahadevan SukhwinderSingh YashitaSharma BollywoodDance DilDhadakneDo EnergeticHindi
Swag Se Swagat (Arabic),BrigitteYaghi NehaBhasin RabihBaroud VishalDadlani,BollywoodDance,TigerZindaHai,Hindi,Energetic,BrigitteYaghi NehaBhasin RabihBaroud VishalDadlani BollywoodDance TigerZindaHai EnergeticHindi
Kudiya Shehar Diyan,DalerMehndi NehaKakkar,BollywoodDance,PosterBoys,Hindi,Energetic,DalerMehndi NehaKakkar BollywoodDance PosterBoys EnergeticHindi
Aap Se Milkar,AakankshaSharma AyushmannKhurrana,BollywoodRomantic,AndhaDhun,Hindi,romantic,AakankshaSharma AyushmannKhurrana BollywoodRomantic AndhaDhun romanticHindi
Socha Hai,JubinNautiyal NeetiMohan,BollywoodRomantic,Baadshaho,Hindi,romantic,JubinNautiyal NeetiMohan BollywoodRomantic Baadshaho romanticHindi
Sawan Aaya Hai (Unplugged Version),NehaKakkar TonyKakkar,BollywoodSad,Creature3D,Hindi,sad,NehaKakkar TonyKakkar BollywoodSad Creature3D sadHindi
Pehle Ke Jaisa,K.K.,BollywoodSad,Jalebi,Hindi,sad,K.K. BollywoodSad Jalebi sadHindi
Main Woh Chaand,DarshanRaval,BollywoodRomanticSad,TeraaSurroor,Hindi,RomanticSad,DarshanRaval BollywoodRomanticSad TeraaSurroor RomanticSadHindi
Ankhiyon Se Goli Mare,JaspinderNarula SonuNigam,BollywoodDance,DulheRaja,Hindi,Energetic,JaspinderNarula SonuNigam BollywoodDance DulheRaja EnergeticHindi
Jab Tak,AmaalMallik ArmaanMalik,BollywoodRomantic,M.S.Dhoni,Hindi,romantic,AmaalMallik ArmaanMalik BollywoodRomantic M.S.Dhoni romanticHindi
Luv Letter,KanikaKapoor MeetBros,BollywoodDance,TheLegendofMichaelMishra,Hindi,Energetic,KanikaKapoor MeetBros BollywoodDance TheLegendofMichaelMishra EnergeticHindi
Ullu ka Pattha,ArijitSingh NikhitaGandhi,Bollywood,JaggaJasoos,Hindi,Energetic,ArijitSingh NikhitaGandhi Bollywood JaggaJasoos EnergeticHindi
Yaad Hai Na,ArijitSingh,BollywoodRomantic,RaazReboot,Hindi,romantic,ArijitSingh BollywoodRomantic RaazReboot romanticHindi
Balma,RekhaBhardwaj SunidhiChauhan,BollywoodDance,Pataakha,Hindi,Energetic,RekhaBhardwaj SunidhiChauhan BollywoodDance Pataakha EnergeticHindi
Kisi Se Pyar Ho Jaye,JubinNautiyal,BollywoodDanceRomantic,Kaabil,Hindi,romantic,JubinNautiyal BollywoodDanceRomantic Kaabil romanticHindi
Sau Aasmaan,ArmaanMalik NeetiMohan,BollywoodDance,BaarBaarDekho,Hindi,Energetic,ArmaanMalik NeetiMohan BollywoodDance BaarBaarDekho EnergeticHindi
Beparwah,NandiniDeb SiddharthBasrur,BollywoodDance,MunnaMichael,Hindi,Energetic,NandiniDeb SiddharthBasrur BollywoodDance MunnaMichael EnergeticHindi
Yaad Hai,AnkitTiwari PalakMuchhal,BollywoodSad,Aiyaary,Hindi,sad,AnkitTiwari PalakMuchhal BollywoodSad Aiyaary sadHindi
Dhayaan Chand,AmitTrivedi NikhitaGandhi SuhasSawant VijayYamla,BollywoodDance,Manmarziyaan,Hindi,Energetic,AmitTrivedi NikhitaGandhi SuhasSawant VijayYamla BollywoodDance Manmarziyaan EnergeticHindi
Aaj Zid,ArijitSingh,BollywoodSensual,Aksar2,Hindi,Romantic,ArijitSingh BollywoodSensual Aksar2 RomanticHindi
Hum Pyaar Hai Tumhare,AlkaYagnik KumarSanu,BollywoodRomantic,HaanMaineBhiPyaarKiya,Hindi,romantic,AlkaYagnik KumarSanu BollywoodRomantic HaanMaineBhiPyaarKiya romanticHindi
Main Hoon,SiddharthMahadevan,BollywoodDance,MunnaMichael,Hindi,Energetic,SiddharthMahadevan BollywoodDance MunnaMichael EnergeticHindi
Swag Saha Nahi Jaye,NehaBhasin ShadabFaridi SohailSen,BollywoodDance,HappyPhirrBhaagJayegi,Hindi,Energetic,NehaBhasin ShadabFaridi SohailSen BollywoodDance HappyPhirrBhaagJayegi EnergeticHindi
Chote Bade,AnkitTiwari MikaSingh,BollywoodDance,FryDay,Hindi,Energetic,AnkitTiwari MikaSingh BollywoodDance FryDay EnergeticHindi
Main Hoon Saath Tere,ArijitSingh,BollywoodRomantic,ShaadiMeinZaroorAana,Hindi,romantic,ArijitSingh BollywoodRomantic ShaadiMeinZaroorAana romanticHindi
Kabira,RekhaBhardwaj TochiRaina,BollywoodSad,YehJawaaniHaiDeewani,Hindi,sad,RekhaBhardwaj TochiRaina BollywoodSad YehJawaaniHaiDeewani sadHindi
Main Kaun Hoon,MeghnaMishra,BollywoodSad,SecretSuperstar,Hindi,sad,MeghnaMishra BollywoodSad SecretSuperstar sadHindi
Aashiq Surrender Hua,AmaalMallik ShreyaGhoshal,BollywoodDance,BadrinathKiDulhania,Hindi,Energetic,AmaalMallik ShreyaGhoshal BollywoodDance BadrinathKiDulhania EnergeticHindi
Nachan Farrate,KanikaKapoor MeetBros,BollywoodDance,AllisWell,Hindi,Energetic,KanikaKapoor MeetBros BollywoodDance AllisWell EnergeticHindi
Pyar De Pyar Le,DevNegi Ikka IuliaVantur,BollywoodDance,Genius,Hindi,Energetic,DevNegi Ikka IuliaVantur BollywoodDance Genius EnergeticHindi
Do Peg Maar,NehaKakkar,BollywoodDance,OneNightStand,Hindi,Energetic,NehaKakkar BollywoodDance OneNightStand EnergeticHindi
Tera Noor,JyotiNooran,Bollywood,TigerZindaHai,Hindi,Energetic,JyotiNooran Bollywood TigerZindaHai EnergeticHindi
Jaanu,JuggyD Raftaar Shivi,BollywoodDance,BehenHogiTeri,Hindi,Energetic,JuggyD Raftaar Shivi BollywoodDance BehenHogiTeri EnergeticHindi
Hamdard,ArijitSingh,BollywoodRomantic,EkVillain,Hindi,romantic,ArijitSingh BollywoodRomantic EkVillain romanticHindi
Hawa Hawai 2.0,KavitaKrishnamurthy ShashaaTirupati,BollywoodDance,TumhariSulu,Hindi,Energetic,KavitaKrishnamurthy ShashaaTirupati BollywoodDance TumhariSulu EnergeticHindi
Dhoom Dhadakka,AntaraMitra ShahidMallya,BollywoodDance,NamasteEngland,Hindi,Energetic,AntaraMitra ShahidMallya BollywoodDance NamasteEngland EnergeticHindi
Lovely,Fateh KanikaKapoor MirayaVarma RavindraUpadhyay,BollywoodDance,HappyNewYear,Hindi,Energetic,Fateh KanikaKapoor MirayaVarma RavindraUpadhyay BollywoodDance HappyNewYear EnergeticHindi
Mohabbat Nasha Hai,NehaKakkar TonyKakkar,BollywoodSad,HateStory4,Hindi,sad,NehaKakkar TonyKakkar BollywoodSad HateStory4 sadHindi
Chal Wahan Jaate Hain,ArijitSingh,BollywoodRomantic,Heropanti,Hindi,romantic,ArijitSingh BollywoodRomantic Heropanti romanticHindi
Ishq De Fanniyar,JyoticaTangri,BollywoodRomantic,FukreyReturns,Hindi,romantic,JyoticaTangri BollywoodRomantic FukreyReturns romanticHindi
Palat Tera Hero Idhar Hai,ArijitSingh,BollywoodDanceRomantic,MainTeraHero,Hindi,romantic,ArijitSingh BollywoodDanceRomantic MainTeraHero romanticHindi
Tab Bhi Tu,RahatFatehAliKhan,BollywoodSad,October,Hindi,sad,RahatFatehAliKhan BollywoodSad October sadHindi
Yeh Ladka Hai Allah,AlkaYadnik UditNarayan,BollywoodDance,KabhiKhushiKabhieGham,Hindi,Energetic,AlkaYadnik UditNarayan BollywoodDance KabhiKhushiKabhieGham EnergeticHindi
Tujhe Yaad Na Meri Aayee,AlkaYagnik ManpreetAkhtar UditNarayan,BollywoodSad,KuchKuchHotaHai,Hindi,sad,AlkaYagnik ManpreetAkhtar UditNarayan BollywoodSad KuchKuchHotaHai sadHindi
Jalte Diye,Anwesshaa HarshdeepKaur ShababSabri VineetSingh,BollywoodRomantic,PremRatanDhanPayo,Hindi,romantic,Anwesshaa HarshdeepKaur ShababSabri VineetSingh BollywoodRomantic PremRatanDhanPayo romanticHindi
Zindagi Bana Loon,PalakMuchhal,BollywoodRomantic,SweetieeWedsNRI,Hindi,romantic,PalakMuchhal BollywoodRomantic SweetieeWedsNRI romanticHindi
Humnava,Papon,BollywoodSad,HamariAdhuriKahani,Hindi,sad,Papon BollywoodSad HamariAdhuriKahani sadHindi
Galliyan,AnkitTiwari,BollywoodRomantic,EkVillain,Hindi,romantic,AnkitTiwari BollywoodRomantic EkVillain romanticHindi
Tere Chehre Mein Woh Jaadu Hai,KishoreKumar,BollywoodRomantic,Dharmatma,Hindi,romantic,KishoreKumar BollywoodRomantic Dharmatma romanticHindi
Golmaal Again Title Track,AditiSinghSharma BrijeshShandilya,BollywoodDance,GolmaalAgain,Hindi,Energetic,AditiSinghSharma BrijeshShandilya BollywoodDance GolmaalAgain EnergeticHindi
Suno Ganpati Bappa Morya,AmitMishra,BollywoodDance,Judwaa2,Hindi,Energetic,AmitMishra BollywoodDance Judwaa2 EnergeticHindi
Dil Dene Ki Ruth,AlkaYagnik VinodRathod,BollywoodDance,PremGranth,Hindi,Energetic,AlkaYagnik VinodRathod BollywoodDance PremGranth EnergeticHindi
Soch Na Sake,AmaalMallik ArijitSingh TulsiKumar,BollywoodRomantic,Airlift,Hindi,romantic,AmaalMallik ArijitSingh TulsiKumar BollywoodRomantic Airlift romanticHindi
Tu Meri,VishalDadlani,BollywoodDanceRomantic,Bangbang,Hindi,romantic,VishalDadlani BollywoodDanceRomantic Bangbang romanticHindi
Baby Ko Bass Pasand Hai,Badshah Ishita ShalmaliKholgade VishalDadlani,BollywoodDance,Sultan,Hindi,Energetic,Badshah Ishita ShalmaliKholgade VishalDadlani BollywoodDance Sultan EnergeticHindi
Daddy Mummy,DeviSriPrasad M.M.Manasi,BollywoodDance,BhaagJohnny,Hindi,Energetic,DeviSriPrasad M.M.Manasi BollywoodDance BhaagJohnny EnergeticHindi
Dekha Hazaro Dafaa,ArijitSingh PalakMuchhal,BollywoodRomantic,Rustom,Hindi,romantic,ArijitSingh PalakMuchhal BollywoodRomantic Rustom romanticHindi
Khatar Patar,Papon,BollywoodDance,SuiDhaaga,Hindi,Energetic,Papon BollywoodDance SuiDhaaga EnergeticHindi
Tu Mera Bhai Nahi Hai,GandhharvSachdeav Raftaar,Bollywood,FukreyReturns,Hindi,Energetic,GandhharvSachdeav Raftaar Bollywood FukreyReturns EnergeticHindi
Party With The Bhoothnath,YoYoHoneySingh,BollywoodDance,BhoothnathReturns,Hindi,Energetic,YoYoHoneySingh BollywoodDance BhoothnathReturns EnergeticHindi
Hasi,AmiMishra,BollywoodRomanticSad,HamariAdhuriKahani,Hindi,RomanticSad,AmiMishra BollywoodRomanticSad HamariAdhuriKahani RomanticSadHindi
Good Man Di Laaltein,SukhwinderSingh SunidhiChauhan,BollywoodDance,Soorma,Hindi,Energetic,SukhwinderSingh SunidhiChauhan BollywoodDance Soorma EnergeticHindi
Kaabil Hoon,JubinNautiyal PalakMuchhal,BollywoodRomantic,Kaabil,Hindi,romantic,JubinNautiyal PalakMuchhal BollywoodRomantic Kaabil romanticHindi
Manali Trance,NehaKakkar YoYoHoneySingh,BollywoodDance,TheShaukeens,Hindi,Energetic,NehaKakkar YoYoHoneySingh BollywoodDance TheShaukeens EnergeticHindi
